iter	Passed	Remaining
0	38	38612
1	83	41594
2	123	40964
3	167	41686
4	238	47437
5	299	49632
6	371	52660
7	419	52054
8	463	50995
9	507	50250
10	554	49873
11	598	49250
12	650	49367
13	706	49786
14	753	49467
15	801	49291
16	892	51589
17	957	52241
18	1026	52982
19	1079	52883
20	1129	52659
21	1174	52228
22	1216	51655
23	1280	52072
24	1326	51724
25	1371	51385
26	1421	51215
27	1482	51465
28	1528	51177
29	1570	50781
30	1622	50704
31	1667	50427
32	1715	50258
33	1768	50245
34	1836	50632
35	1917	51341
36	1994	51913
37	2040	51663
38	2090	51524
39	2136	51283
40	2181	51031
41	2222	50690
42	2267	50459
43	2334	50722
44	2397	50882
45	2486	51570
46	2539	51494
47	2583	51249
48	2625	50963
49	2676	50853
50	2723	50686
51	2773	50556
52	2846	50861
53	2911	50997
54	2986	51305
55	3041	51266
56	3082	50991
57	3123	50734
58	3169	50557
59	3211	50306
60	3253	50084
61	3297	49881
62	3353	49875
63	3417	49977
64	3478	50030
65	3554	50306
66	3607	50231
67	3644	49955
68	3683	49696
69	3726	49513
70	3771	49346
71	3830	49366
72	3910	49659
73	3964	49605
74	4036	49781
75	4077	49578
76	4117	49350
77	4156	49127
78	4196	48927
79	4247	48848
80	4313	48940
81	4380	49041
82	4434	48994
83	4475	48799
84	4524	48704
85	4570	48571
86	4616	48448
87	4675	48460
88	4738	48507
89	4818	48720
90	4872	48671
91	4915	48518
92	4966	48438
93	5013	48323
94	5094	48534
95	5163	48622
96	5226	48655
97	5291	48701
98	5343	48634
99	5385	48473
100	5486	48837
101	5558	48933
102	5596	48742
103	5648	48662
104	5706	48641
105	5770	48669
106	5849	48814
107	5911	48827
108	5963	48748
109	6011	48640
110	6053	48482
111	6108	48432
112	6162	48369
113	6200	48190
114	6238	48007
115	6280	47864
116	6323	47727
117	6382	47710
118	6429	47601
119	6478	47507
120	6524	47396
121	6576	47329
122	6625	47239
123	6686	47237
124	6748	47240
125	6803	47193
126	6846	47060
127	6896	46979
128	6936	46834
129	6988	46769
130	7033	46658
131	7083	46577
132	7147	46594
133	7192	46483
134	7237	46373
135	7277	46230
136	7325	46142
137	7400	46225
138	7464	46235
139	7539	46315
140	7593	46261
141	7631	46111
142	7672	45983
143	7717	45877
144	7766	45793
145	7820	45743
146	7881	45732
147	7958	45816
148	8023	45826
149	8086	45821
150	8168	45926
151	8218	45849
152	8259	45722
153	8319	45705
154	8374	45655
155	8421	45559
156	8472	45493
157	8547	45552
158	8609	45536
159	8688	45614
160	8749	45594
161	8791	45477
162	8863	45513
163	8911	45425
164	8957	45329
165	9002	45229
166	9049	45139
167	9098	45058
168	9160	45045
169	9233	45080
170	9292	45050
171	9347	44997
172	9398	44928
173	9455	44887
174	9502	44798
175	9562	44771
176	9622	44743
177	9668	44650
178	9713	44553
179	9756	44444
180	9808	44383
181	9856	44300
182	9901	44204
183	9951	44132
184	9999	44051
185	10057	44015
186	10125	44022
187	10175	43947
188	10255	44008
189	10298	43903
190	10372	43932
191	10417	43838
192	10460	43740
193	10507	43654
194	10556	43580
195	10605	43503
196	10647	43399
197	10695	43322
198	10761	43315
199	10807	43229
200	10853	43145
201	10901	43067
202	10943	42964
203	10989	42880
204	11036	42798
205	11074	42686
206	11125	42622
207	11171	42539
208	11225	42486
209	11289	42471
210	11329	42366
211	11368	42255
212	11409	42154
213	11451	42060
214	11488	41948
215	11537	41878
216	11579	41783
217	11634	41734
218	11677	41644
219	11733	41599
220	11800	41595
221	11852	41537
222	11903	41473
223	11943	41376
224	11990	41299
225	12038	41228
226	12076	41123
227	12122	41046
228	12165	40959
229	12207	40868
230	12255	40797
231	12322	40790
232	12377	40745
233	12418	40650
234	12456	40550
235	12496	40453
236	12549	40402
237	12594	40323
238	12641	40251
239	12687	40177
240	12735	40108
241	12782	40038
242	12822	39946
243	12875	39893
244	12921	39820
245	12961	39726
246	13001	39635
247	13039	39538
248	13077	39443
249	13124	39373
250	13239	39506
251	13327	39560
252	13381	39508
253	13436	39464
254	13480	39384
255	13527	39313
256	13573	39241
257	13612	39149
258	13653	39064
259	13702	39000
260	13753	38943
261	13811	38903
262	13854	38825
263	13900	38753
264	13948	38687
265	13997	38624
266	14044	38557
267	14088	38481
268	14126	38389
269	14180	38339
270	14218	38247
271	14273	38202
272	14313	38115
273	14383	38110
274	14425	38031
275	14464	37943
276	14503	37855
277	14551	37790
278	14598	37726
279	14637	37639
280	14678	37558
281	14718	37475
282	14771	37424
283	14814	37348
284	14856	37271
285	14896	37190
286	14940	37118
287	14979	37032
288	15018	36948
289	15066	36885
290	15108	36809
291	15146	36724
292	15194	36663
293	15241	36599
294	15285	36530
295	15331	36465
296	15375	36394
297	15433	36356
298	15477	36287
299	15591	36380
300	15650	36343
301	15700	36289
302	15740	36208
303	15778	36124
304	15815	36039
305	15860	35971
306	15910	35915
307	15971	35884
308	16020	35825
309	16089	35812
310	16137	35751
311	16185	35691
312	16236	35636
313	16321	35658
314	16373	35606
315	16420	35542
316	16485	35520
317	16529	35449
318	16582	35399
319	16672	35428
320	16736	35402
321	16842	35462
322	16951	35528
323	17058	35591
324	17113	35543
325	17171	35502
326	17231	35464
327	17289	35422
328	17353	35393
329	17410	35347
330	17471	35312
331	17537	35286
332	17595	35243
333	17645	35184
334	17696	35128
335	17752	35082
336	17817	35053
337	17872	35005
338	17927	34956
339	17981	34904
340	18037	34858
341	18095	34814
342	18153	34772
343	18226	34757
344	18280	34706
345	18335	34657
346	18393	34614
347	18451	34570
348	18502	34512
349	18583	34511
350	18645	34475
351	18712	34447
352	18770	34404
353	18829	34360
354	18888	34318
355	18952	34284
356	19011	34242
357	19070	34199
358	19130	34158
359	19187	34111
360	19243	34062
361	19300	34015
362	19363	33979
363	19421	33934
364	19483	33895
365	19538	33844
366	19719	34011
367	19776	33963
368	19836	33921
369	19891	33870
370	19945	33816
371	20002	33768
372	20054	33711
373	20112	33664
374	20169	33616
375	20224	33563
376	20279	33511
377	20330	33453
378	20392	33413
