iter	Passed	Remaining
0	39	39766
1	120	60060
2	177	58929
3	235	58693
4	282	56152
5	384	63691
6	491	69754
7	536	66494
8	581	63984
9	625	61884
10	677	60905
11	737	60690
12	784	59549
13	826	58220
14	875	57508
15	918	56473
16	961	55573
17	1096	59814
18	1161	59984
19	1225	60027
20	1277	59567
21	1321	58724
22	1417	60227
23	1551	63111
24	1603	62541
25	1645	61652
26	1689	60874
27	1790	62141
28	1834	61415
29	1879	60760
30	1921	60069
31	2028	61354
32	2084	61068
33	2127	60432
34	2167	59766
35	2210	59198
36	2264	58944
37	2387	60444
38	2455	60517
39	2503	60094
40	2629	61508
41	2689	61355
42	2741	61015
43	2788	60577
44	2830	60078
45	2877	59685
46	2935	59521
47	2992	59351
48	3051	59223
49	3095	58811
50	3142	58474
51	3191	58183
52	3242	57943
53	3289	57619
54	3350	57561
55	3414	57565
56	3475	57492
57	3524	57242
58	3572	56972
59	3626	56809
60	3670	56508
61	3718	56252
62	3766	56016
63	3839	56148
64	3889	55954
65	3937	55721
66	3982	55460
67	4027	55202
68	4073	54956
69	4118	54720
70	4166	54513
71	4213	54304
72	4258	54074
73	4317	54026
74	4365	53845
75	4428	53838
76	4486	53780
77	4534	53600
78	4582	53427
79	4641	53380
80	4689	53210
81	4744	53119
82	4788	52900
83	4846	52851
84	4894	52686
85	4954	52660
86	5014	52622
87	5059	52430
88	5112	52327
89	5158	52153
90	5201	51952
91	5244	51761
92	5288	51579
93	5337	51447
94	5398	51427
95	5445	51274
96	5486	51076
97	5530	50903
98	5572	50719
99	5615	50542
100	5660	50388
101	5705	50230
102	5749	50071
103	5800	49972
104	5840	49785
105	5964	50302
106	6014	50194
107	6057	50030
108	6176	50488
109	6234	50438
110	6277	50276
111	6323	50133
112	6367	49983
113	6410	49824
114	6464	49751
115	6508	49599
116	6555	49477
117	6601	49347
118	6646	49203
119	6687	49041
120	6741	48975
121	6785	48836
122	6828	48686
123	6870	48536
124	6989	48928
125	7072	49058
