,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197,Var198,Var199,Var200,Var201,Var202,Var203,Var204,Var205,Var206,Var207,Var208,Var209,Var210,Var211,Var212,Var213,Var214,Var215,Var216,Var217,Var218,Var219,Var220,Var221,Var222,Var223,Var224,Var225,Var226,Var227,Var228,Var229,Var230,target
37718,,,,,,1708.0,7.0,,,,,,1800.0,,,,,,,,332.0,415.0,,8.0,248.0,,,166.56,,,,,,,0.0,,,949176.0,,,,,,0.0,,,,,,,,,,,,,6.784448,,,,,,,,18.0,,,,,,,,172,49.0,,1180848.0,,0.0,,,32694.6,,0.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,144.0,-960876.0,,,,,,1185.0,,,,18.0,,28548.0,-22.0,,,,,,0.0,1818750.0,374818.0,,,,,,175.0,,,0.0,18.0,,,,,467824.0,,,,3764196.0,,,,,,,44.0,,,504528.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,dRavyx7ejg,2Knk1KF,,taul,1K8T,X9_k,cMjcTxR,8Rta2LC,G6OyY8w,,Z1hR,9_Y1,qaiO,VpdQ,kxE9,me75fM6ugJ,kIsH,,uKAI,Mtgm,XfqtO3UdzaXh_,,EUH1ZMv,,XTbqizz,FEa8,UYBR,FzaX,fabfGrO,oslk,TT_zF_Q,LM8l689qOp,,ELof,szEZ,RAYp,TCU50_Yjmm6GIBZ0lL_,,,-1
37957,,,,,,308.0,0.0,,,,,,0.0,,,,,,,,308.0,385.0,,6.0,152.0,,,296.8,,,,,,,0.0,,,26958.0,,,,,,0.0,,,,,,,,,,,,,1.250801,,,,,,,,9.0,,,,,,,3.0,16,0.0,,2356728.0,,0.0,,,50972.4,,0.0,,12.0,,,,,,,,,0.0,,,,,,,,,,,,,,,40.0,,,96.0,126511.2,,,,,,655.0,,,,6.0,,0.0,4.0,,,,,,0.0,3297145.0,694842.0,,,,,,0.0,,,0.0,0.0,,,,,967568.0,,,,5623440.0,,,,,,,78.0,,,599574.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,CxSr4RXktW,RO12,,taul,1K8T,JLbT,LG0JHBC,ZCsjJUhYVK,,,7IWx,9_Y1,5euo,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,NGZxnJM,aBAk,cJvF,FzaX,ZDjvbB7,oslk,nx1K0JH,LM8l689qOp,,,7FJQ,RAYp,F2FyR07IdsN7I,,,-1
4463,,,,,,910.0,0.0,,,,,,0.0,,,,,,,,716.0,895.0,,26.0,672.0,,,200.0,,,,,,,0.0,,,304998.0,,,,,,0.0,,,,,,,,,,,,,4.152318,,,,,,,,18.0,,,,,,,3.0,18,0.0,,548064.0,,3.0,,,19237.44,,5.0,,24.0,,,,,,,,,567.0,,,,,,,,,,,,,,,144.0,,,208.0,-251507.2,,,,,,2920.0,,,,102.0,,0.0,4.0,,,,,,8.0,510805.0,262050.0,,,,,,0.0,,,0.0,18.0,,,,,219611.0,,,,1697692.0,,,,,,,78.0,,,80652.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,138.0,,,4e7gUH7IEC,RO12,,taul,1K8T,IIni,knVlH9W,76jk_MXMyd,,,8bx9,9_Y1,1Bp0,VpdQ,zm5i,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kZJtVhC,GUpa,UYBR,,ekOYlW4,oslk,zu6qFbB,,,,WqMG,RAYp,F2FyR07IdsN7I,,,1
36325,,,,,,1365.0,7.0,,,,,,9476.0,,,,,,,,240.0,300.0,,4.0,32.0,,,290.72,,,,,,,0.0,,,138648.0,,,,,,0.0,,,,,,,,,,,,,5.677206,,,,,,,,9.0,,,,,,,,208,126.0,,1010448.0,,0.0,,,38703.6,,25.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,64.0,220121.2,,,,,,910.0,,,,12.0,,2007.0,26.0,,,,,,0.0,2969480.0,93788.0,,,,,,1155.0,,,0.0,27.0,,,,,50617.0,,,,4290840.0,,,,,,,74.0,,,209790.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,450.0,,,UCDvyx8zhV,2Knk1KF,SEuy,taul,1K8T,487l,fhk21Ss,koda1Jh,gObJF3z,smXZ,sbhw,9_Y1,MBhA,VpdQ,sYC_,7M47J5GA0pTYIFxg5uy,kIsH,,uKAI,L84s,MeOIHRG3F9,,JNovHfg,,8YGYKHp,5smi,UYBR,OFWH,4UxGlow,zCkv,catzS2D,jySVZNlOJy,,kG3k,WqMG,ZI9m,VjDE,,,-1
20354,,,,,,126.0,0.0,,,,,,0.0,,,,,,,,144.0,180.0,,2.0,72.0,,,230.08,,,,,,,0.0,,,3205404.0,,,,,,0.0,,,,,,,,,,,,,4.234565,,,,,,,,9.0,,,,,,,3.0,16,0.0,,3273712.0,,0.0,,,204055.2,,0.0,,4.0,,,,,,,,,85269.0,,,,,,,,,,,,,,,24.0,,,48.0,43717.6,,,,,,360.0,,,,42.0,,0.0,4.0,,,,,,0.0,4323580.0,1331326.0,,,,,,0.0,,,0.0,0.0,,,,,554407.0,,,,10528920.0,,,,,,,24.0,,,950412.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,avkq9ayfAo,RO12,,taul,1K8T,z32l,awTXkK6,fXexTA9,,,KX1F,9_Y1,000J,VpdQ,IYzP,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,mAja5EA,Kgqw,UYBR,FzaX,stplI5k,oslk,YE7WDFK,LM8l689qOp,,,7P5s,RAYp,F2FyR07IdsN7I,,,-1
30767,,,,,,1400.0,0.0,,,,,,0.0,,,,,,,,200.0,250.0,,6.0,88.0,,,166.56,,,,,,,0.0,,,412308.0,,,,,,0.0,,,,,,,,,,,,,5.277291,,,,,,,,27.0,,,,,,,,110,0.0,,2434920.0,,0.0,,,60625.2,,25.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,72.0,-875568.0,,,,,,955.0,,,,18.0,,11133.0,,,,,,,0.0,4214185.0,200604.0,,,,,,0.0,,,0.0,0.0,,,,,530488.0,,,,6588000.0,,,,,,,36.0,,,281202.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,306.0,,,a4vvyxLkBI,2Knk1KF,SEuy,taul,1K8T,Xa_z,b4AviRg,3X0xOLn,zeg7jLZ,smXZ,zgGb,9_Y1,vzJD,09_Q,sYC_,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,UMuZCtY,,kq0aHkC,dzk3,UYBR,FzaX,KNX8yXf,oslk,PYurS2Y,LM8l689qOp,,xG3x,xb3V,RAYp,55YFVY9,am7c,,-1
37378,,,,,,13139.0,,,,,,,,,,,,,,,472.0,590.0,,2.0,112.0,,,220.08,,,,,,,0.0,,,6413940.0,,,,,,0.0,,,,,,,,,,,,,4.638752,,,,,,,,,,,,,,,,38,,,1074552.0,,0.0,,,9884.04,,20.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,56.0,309272.8,,,,,,3155.0,,,,264.0,,,-20.0,,,,,,0.0,283930.0,1832064.0,,,,,,,,,0.0,9.0,,,,,604800.0,,,,10696960.0,,,,,,,94.0,,,1036800.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,doHWq69cTy,RO12,,taul,1K8T,0Xwj,wEJSdMg,6uerj6GG35,,,7gzr,F3hy,Px52,VpdQ,zm5i,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,,,mAja5EA,DFNm,UYBR,FzaX,aMa88FJ,oslk,tM4OEra,jySVZNlOJy,,,PM2D,RAYp,F2FyR07IdsN7I,,,-1
12512,,0.0,0.0,,,,,,,,8.0,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,180086.0,,,,8.0,,,30.0,,,28.0,,,0.0,,,,,8.0,,24110.0,5.194403,,581938.2,,,,,,,,,175.0,,,,,6,,5.0,,,,,,,,,0.0,,,,,24.0,,,,,,466662.0,6.0,,,,,,,,99.0,66.0,,,,,,,,-1479708.0,2223320.0,36.0,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2117538.0,,,,,,,,9.0,,,,,,0.0,2822792.0,40.0,,,,,110310.0,20.0,,,,222.66,258.0,,,DHegUHXZeb,RO12,,taul,1K8T,487l,mBr7wZ4,iDskMGe,,,QdJ_,9_Y1,LqKm,09_Q,,me75fM6ugJ,kIsH,,uKAI,L84s,NhsEn4L,,,,kZJtVhC,yzAe,UYBR,FzaX,_oSv10k,oslk,kK6wBif,LM8l689qOp,4n2X,,453m,RAYp,F2FyR07IdsN7I,,,-1
31048,,,,,,658.0,7.0,,,,,,32.0,,,,,,,,132.0,165.0,,6.0,24.0,,,135.68,,,,,,,0.0,,,4848.0,,,,,,0.0,,,,,,,2065.76,,,,,,1.070498,,,,,,,,9.0,,,,,,,3.0,32,0.0,,43984.0,,0.0,,,1535.157,,0.0,,2.0,,,,,,,,,33816.0,,,,,,,,,,,,,,,48.0,,,64.0,6860.0,,,,,,400.0,,,,18.0,,279.0,-30.0,,,,,,0.0,42275.0,2220.0,,,,,,250.0,,,0.0,0.0,,,,,18942.0,,,,64616.0,,,,,,,36.0,,,1698.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,75lTmBtFkL,AERks4l,,taul,1K8T,487l,fayYfhR,9HOPNsJ,,,VkoA,9_Y1,c2JP,09_Q,IYzP,DHn_WUyBhW_whjA88g9bvA64_,kIsH,,uKAI,L84s,JBfYVit4g8,,,,y5FmKcE,Z6o1,cJvF,FzaX,KbkKEj0,Al6ZaUT,QqVuch3,LM8l689qOp,,,rgKb,02N6s8f,xwM2aC7IdeMC0,,,-1
32847,,,,,,833.0,7.0,,,,,,1072.0,,,,,,,,208.0,260.0,,2.0,72.0,,,271.68,,,,,,,0.0,,,4652808.0,,,,,,0.0,,,,,,,28499.6,,,,,,2.730827,,,,,,,,27.0,,,,,,,3.0,64,0.0,,4853072.0,,9.0,,,214062.6,,5.0,,4.0,,,,,,,,,26769.0,,,,,,,,,,,,,,,40.0,,,64.0,89086.0,,,,,,615.0,,,,90.0,,62325.0,-14.0,,,,,,24.0,3403460.0,1019126.0,,,,,,1635.0,,,0.0,9.0,,,,,554428.0,,,,10689600.0,,,,,,,34.0,,,596952.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,75lTmBtFkL,RO12,SEuy,taul,1K8T,AnrR,X7nM3I9,nQUq7hGe64,26FwjXe,smXZ,et5n,9_Y1,c2JP,09_Q,Tkho,me75fM6ugJ,kIsH,,uKAI,Mtgm,NhsEn4L,,QfNNHkv,,kq0n8Bj,pv4R,UYBR,FzaX,RnYQ_Zs,oslk,4Iey5oW,M_8D,,kG3k,rgKb,RAYp,F2FyR07IdsN7I,am7c,,1
